id,label,speech_text,category_id,category,category_colour,category_hex,aliases,priority,enabled,sort_order,emoji
physical_self_care-comb-hair,Se coiffer,Se coiffer,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,91,💇
physical_self_care-lotion,Crème,Crème,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,92,🧴
physical_self_care-heavy-blanket,Couverture lourde,Couverture lourde,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,93,🛏️
physical_self_care-pillow,Oreiller,Oreiller,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,94,🛌
physical_self_care-fan,Ventilateur,Ventilateur,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,95,💨
physical_self_care-heater,Chauffage,Chauffage,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,96,🔥
physical_self_care-light-on,Allumer la lumière,Allumer la lumière,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,97,💡
physical_self_care-light-off,Éteindre la lumière,Éteindre la lumière,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,98,🌑
physical_self_care-door-open,Porte ouverte,Porte ouverte,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,99,🚪
physical_self_care-door-closed,Porte fermée,Porte fermée,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,100,🔒
physical_self_care-window-open,Fenêtre ouverte,Fenêtre ouverte,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,101,🪟
physical_self_care-window-closed,Fenêtre fermée,Fenêtre fermée,physical_self_care,Besoins et soins,Blue,#72A7E0,,standard,True,102,❎
health_feelings_emergency-emergency,Urgence,Urgence,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,urgent,True,103,🚨
health_feelings_emergency-call-for-help,Appeler à l'aide,Appeler à l'aide,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,urgent,True,104,📞
health_feelings_emergency-pain,Douleur / Mal,Douleur,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,Mal,standard,True,105,🤕
health_feelings_emergency-sick,Malade / Nausée,Malade,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,Nausée,standard,True,106,🤢
health_feelings_emergency-dizzy,Étourdi,Étourdi,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,107,😵
health_feelings_emergency-headache,Mal de tête,Mal de tête,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,108,😖
health_feelings_emergency-stomach-ache,Mal au ventre,Mal au ventre,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,109,😣
health_feelings_emergency-breathing-difficulty,Difficulté à respirer,Difficulté à respirer,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,urgent,True,110,😤
health_feelings_emergency-allergic-reaction,Réaction allergique,Réaction allergique,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,urgent,True,111,🤧
health_feelings_emergency-asthma-inhaler,Inhalateur pour asthme,Inhalateur pour asthme,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,112,🌬️
health_feelings_emergency-seizure-warning,Crise à venir,Crise à venir,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,urgent,True,113,⚡
health_feelings_emergency-low-blood-sugar,Glycémie basse,Glycémie basse,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,urgent,True,114,🍬
health_feelings_emergency-heart-racing,Cœur qui bat vite,Cœur qui bat vite,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,115,💓
health_feelings_emergency-chest-pain,Douleur à la poitrine,Douleur à la poitrine,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,urgent,True,116,💔
health_feelings_emergency-numbness,Engourdissement,Engourdissement,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,117,🧊
health_feelings_emergency-tingling,Fourmillements,Fourmillements,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,118,✨
health_feelings_emergency-burning-feeling,Sensation de brûlure,Sensation de brûlure,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,119,🔥
health_feelings_emergency-sharp-pain,Douleur vive,Douleur vive,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,120,💢
health_feelings_emergency-dull-ache,Douleur sourde,Douleur sourde,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,121,😩
health_feelings_emergency-cramps,Crampes,Crampes,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,122,🌀
health_feelings_emergency-fever,Fièvre,Fièvre,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,123,🤒
health_feelings_emergency-chills,Frissons,Frissons,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,124,🥶
health_feelings_emergency-cough,Toux,Toux,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,125,😷
health_feelings_emergency-sore-throat,Mal de gorge,Mal de gorge,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,126,🗣️
health_feelings_emergency-stuffy-nose,Nez bouché,Nez bouché,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,127,👃
health_feelings_emergency-ear-ache,Mal d'oreille,Mal d'oreille,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,128,👂
health_feelings_emergency-tooth-ache,Mal de dents,Mal de dents,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,129,🦷
health_feelings_emergency-bleeding,Saignement,Saignement,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,urgent,True,130,🩸
health_feelings_emergency-bruise,Bleu,Bleu,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,131,🟣
health_feelings_emergency-swelling,Gonflement,Gonflement,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,132,🎈
health_feelings_emergency-burn,Brûlure,Brûlure,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,133,🧯
health_feelings_emergency-bite,Morsure / Piqûre,Morsure,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,Piqûre,standard,True,134,🐝
health_feelings_emergency-happy,Content,Content,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,135,😀
health_feelings_emergency-sad,Triste,Triste,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,136,😢
health_feelings_emergency-angry,Fâché,Fâché,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,137,😠
health_feelings_emergency-scared,Effrayé,Effrayé,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,138,😨
health_feelings_emergency-anxious,Anxieux,Anxieux,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,139,😰
health_feelings_emergency-excited,Excité,Excité,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,140,🤩
health_feelings_emergency-calm,Calme,Calme,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,141,😌
health_feelings_emergency-tired,Fatigué,Fatigué,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,142,😴
health_feelings_emergency-bored,Ennuyé,Ennuyé,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,143,😑
health_feelings_emergency-frustrated,Frustré,Frustré,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,144,🙄
health_feelings_emergency-confused,Confus,Confus,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,145,😕
health_feelings_emergency-overwhelmed,Débordé,Débordé,health_feelings_emergency,"Santé, émotions et urgences",Red,#E97B75,,standard,True,146,🥴
sensory_comfort-sensory-overload,Surcharge sensorielle,Surcharge sensorielle,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,147,🤯
sensory_comfort-meltdown-coming,Crise de surcharge à venir,Crise de surcharge à venir,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,148,🌋
sensory_comfort-shutdown-mode,Mode arrêt,Mode arrêt,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,149,🔌
sensory_comfort-need-quiet,Besoin de calme,Besoin de calme,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,150,🤫
sensory_comfort-need-space,Besoin d'espace,Besoin d'espace,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,151,↔️
sensory_comfort-quiet-space,Espace calme,Espace calme,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,152,🧘
sensory_comfort-need-a-break,Besoin d'une pause,Besoin d'une pause,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,153,⏸️
sensory_comfort-too-loud,Trop bruyant,Trop bruyant,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,154,🔊
sensory_comfort-too-quiet,Trop silencieux,Trop silencieux,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,155,🔇
sensory_comfort-too-bright,Trop lumineux,Trop lumineux,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,156,🔆
sensory_comfort-too-dark,Trop sombre,Trop sombre,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,157,🌑
sensory_comfort-too-crowded,Trop de monde,Trop de monde,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,158,👥
sensory_comfort-too-hot,Trop chaud,Trop chaud,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,159,🥵
sensory_comfort-too-cold,Trop froid,Trop froid,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,160,🥶
sensory_comfort-noise-cancelling-headphones,Casque antibruit,Casque antibruit,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,161,🎧
sensory_comfort-fidget-toy,Jouet anti-stress,Jouet anti-stress,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,162,🌀
sensory_comfort-chew-toy,Jouet à mâcher,Jouet à mâcher,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,163,🦴
sensory_comfort-sunglasses,Lunettes de soleil,Lunettes de soleil,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,164,🕶️
sensory_comfort-need-pressure,Besoin de pression,Besoin de pression,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,165,🤗
sensory_comfort-need-movement,Besoin de bouger,Besoin de bouger,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,166,🏃
sensory_comfort-need-to-spin,Besoin de tourner,Besoin de tourner,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,167,🌪️
sensory_comfort-need-to-rock,Besoin de se balancer,Besoin de se balancer,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,168,↕️
sensory_comfort-need-to-jump,Besoin de sauter,Besoin de sauter,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,169,🤸
sensory_comfort-texture-issue,Problème de texture,Problème de texture,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,170,🧶
sensory_comfort-bad-smell,Mauvaise odeur,Mauvaise odeur,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,171,🤢
sensory_comfort-strong-taste,Goût fort,Goût fort,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,172,👅
sensory_comfort-itchy-clothing,Vêtement qui gratte,Vêtement qui gratte,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,173,👕
sensory_comfort-cut-clothing-tag,Couper l'étiquette,Couper l'étiquette,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,174,✂️
sensory_comfort-wet-hands,Mains mouillées,Mains mouillées,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,175,💦
sensory_comfort-sticky-hands,Mains collantes,Mains collantes,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,176,🍯
sensory_comfort-blinking-light,Lumière clignotante,Lumière clignotante,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,177,💡
sensory_comfort-buzzing-sound,Bruit de bourdonnement,Bruit de bourdonnement,sensory_comfort,Sensoriel et confort,Purple,#B58ACB,,standard,True,178,🐝
objects_leisure-tv,Télé,Télé,objects_leisure,Objets et loisirs,Orange,#F3A65A,,standard,True,179,📺
objects_leisure-movie,Film,Film,objects_leisure,Objets et loisirs,Orange,#F3A65A,,standard,True,180,🎬
objects_leisure-music,Musique,Musique,objects_leisure,Objets et loisirs,Orange,#F3A65A,,standard,True,181,🎵
objects_leisure-video-game,Jeu vidéo,Jeu vidéo,objects_leisure,Objets et loisirs,Orange,#F3A65A,,standard,True,182,🎮
objects_leisure-tablet,Tablette,Tablette,objects_leisure,Objets et loisirs,Orange,#F3A65A,iPad,standard,True,183,📱
objects_leisure-phone,Téléphone,Téléphone,objects_leisure,Objets et loisirs,Orange,#F3A65A,,standard,True,184,☎️
objects_leisure-computer,Ordinateur,Ordinateur,objects_leisure,Objets et loisirs,Orange,#F3A65A,,standard,True,185,💻
objects_leisure-book,Livre,Livre,objects_leisure,Objets et loisirs,Orange,#F3A65A,,standard,True,186,📚
objects_leisure-toy,Jouet,Jouet,objects_leisure,Objets et loisirs,Orange,#F3A65A,,standard,True,187,🧸
objects_leisure-blocks,Blocs,Blocs,objects_leisure,Objets et loisirs,Orange,#F3A65A,,standard,True,188,🧱
objects_leisure-doll,Poupée / Figurine,Poupée,objects_leisure,Objets et loisirs,Orange,#F3A65A,Figurine,standard,True,189,🪆
objects_leisure-puzzle,Puzzle,Puzzle,objects_leisure,Objets et loisirs,Orange,#F3A65A,,standard,True,190,🧩
objects_leisure-art,Dessin / Coloriage,Dessin,objects_leisure,Objets et loisirs,Orange,#F3A65A,Coloriage,standard,True,191,🎨
objects_leisure-paint,Peinture,Peinture,objects_leisure,Objets et loisirs,Orange,#F3A65A,,standard,True,192,🖌️
objects_leisure-paper,Papier,Papier,objects_leisure,Objets et loisirs,Orange,#F3A65A,,standard,True,193,📄
objects_leisure-crayons,Crayons / Feutres,Crayons,objects_leisure,Objets et loisirs,Orange,#F3A65A,Feutres,standard,True,194,✏️
objects_leisure-ball,Ballon,Ballon,objects_leisure,Objets et loisirs,Orange,#F3A65A,,standard,True,195,⚽
objects_leisure-bike,Vélo / Trottinette,Vélo,objects_leisure,Objets et loisirs,Orange,#F3A65A,Trottinette,standard,True,196,🚲
objects_leisure-swing,Balançoire,Balançoire,objects_leisure,Objets et loisirs,Orange,#F3A65A,,standard,True,197,🎠
objects_leisure-board-game,Jeu de société,Jeu de société,objects_leisure,Objets et loisirs,Orange,#F3A65A,,standard,True,198,🎲
objects_leisure-cards,Cartes,Cartes,objects_leisure,Objets et loisirs,Orange,#F3A65A,,standard,True,199,🃏
objects_leisure-camera,Appareil photo,Appareil photo,objects_leisure,Objets et loisirs,Orange,#F3A65A,,standard,True,200,📷
objects_leisure-instrument,Instrument de musique,Instrument de musique,objects_leisure,Objets et loisirs,Orange,#F3A65A,,standard,True,201,🎸
objects_leisure-pet,Animal de compagnie,Animal,objects_leisure,Objets et loisirs,Orange,#F3A65A,Animal,standard,True,202,🐶
objects_leisure-blanket,Couverture,Couverture,objects_leisure,Objets et loisirs,Orange,#F3A65A,,standard,True,203,🛏️
objects_leisure-ice-pack,Poche de glace,Poche de glace,objects_leisure,Objets et loisirs,Orange,#F3A65A,,standard,True,204,🧊
places_time_sequence-home,Maison,Maison,places_time_sequence,"Lieux, temps et séquence",White,#F5F5F5,,standard,True,205,🏠
places_time_sequence-work,Travail / École,Travail,places_time_sequence,"Lieux, temps et séquence",White,#F5F5F5,École,standard,True,206,🏢
places_time_sequence-bedroom,Chambre,Chambre,places_time_sequence,"Lieux, temps et séquence",White,#F5F5F5,,standard,True,207,🛏️
places_time_sequence-kitchen,Cuisine,Cuisine,places_time_sequence,"Lieux, temps et séquence",White,#F5F5F5,,standard,True,208,🍳
places_time_sequence-living-room,Salon,Salon,places_time_sequence,"Lieux, temps et séquence",White,#F5F5F5,,standard,True,209,🛋️
places_time_sequence-dining-room,Salle à manger,Salle à manger,places_time_sequence,"Lieux, temps et séquence",White,#F5F5F5,,standard,True,210,🍽️
places_time_sequence-back-garden,Jardin,Jardin,places_time_sequence,"Lieux, temps et séquence",White,#F5F5F5,,standard,True,211,🌻
places_time_sequence-playground,Aire de jeux,Aire de jeux,places_time_sequence,"Lieux, temps et séquence",White,#F5F5F5,,standard,True,212,🎡
places_time_sequence-park,Parc,Parc,places_time_sequence,"Lieux, temps et séquence",White,#F5F5F5,,standard,True,213,🌳
places_time_sequence-library,Bibliothèque,Bibliothèque,places_time_sequence,"Lieux, temps et séquence",White,#F5F5F5,,standard,True,214,📚
places_time_sequence-therapy-room,Salle de thérapie,Salle de thérapie,places_time_sequence,"Lieux, temps et séquence",White,#F5F5F5,,standard,True,215,🧩
places_time_sequence-doctors-surgery,Cabinet du médecin,Cabinet du médecin,places_time_sequence,"Lieux, temps et séquence",White,#F5F5F5,,standard,True,216,🩺
